sample name	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.1740.121.EMP.Thomas.sponges.16S.L007	2011-07-19 00:00:00	GAZ:The Bahamas	28.8	ENVO:reef	sponges	410	24.04055	-74.53137	Russell Hill Lab				
1740.1740.122.EMP.Thomas.sponges.16S.L007	2011-07-19 00:00:00	GAZ:The Bahamas	28.8	ENVO:reef	sponges	411	24.04055	-74.53137	Russell Hill Lab				
1740.1740.123.EMP.Thomas.sponges.16S.L007	2011-07-19 00:00:00	GAZ:The Bahamas	28.8	ENVO:reef	sponges	412	24.04055	-74.53137	Russell Hill Lab				
1740.1740.124.EMP.Thomas.sponges.16S.L007	2012-07-22 00:00:00	GAZ:The Bahamas	24.2	ENVO:reef	sponges	413	22.10087	-73.54073	Russell Hill Lab				
1740.1740.125.EMP.Thomas.sponges.16S.L007	2011-07-19 00:00:00	GAZ:The Bahamas	28.8	ENVO:reef	sponges	414	24.04055	-74.53137	Russell Hill Lab				
1740.1740.126.EMP.Thomas.sponges.16S.L007	2011-07-19 00:00:00	GAZ:The Bahamas	28.8	ENVO:reef	sponges	415	24.04055	-74.53137	Russell Hill Lab				
1740.1740.127.EMP.Thomas.sponges.16S.L007	2012-07-22 00:00:00	GAZ:The Bahamas	24.2	ENVO:reef	sponges	416	22.10087	-73.54073	Russell Hill Lab				
1740.1740.128.EMP.Thomas.sponges.16S.L007	2011-10-11 00:00:00	GAZ:Puerto Rico	16.7	ENVO:reef	sponges	417	18.39177	-67.47597	Russell Hill Lab				
1740.1740.13.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	308	18.40198	-87.40878	Russell Hill Lab				
1740.1740.14.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	309	18.40198	-87.40878	Russell Hill Lab				
1740.1740.14.VI.05.2.009.EMP.Thomas.sponges.16S.L007	2005-04-14 00:00:00	GAZ:United States of America	178.6	ENVO:reef		454	24.44095	-81.13243	HBOI.McCarthy				
1740.1740.14.VIII.09.2.001.EMP.Thomas.sponges.16S.L007	2009-08-14 00:00:00	GAZ:United States of America	529.1	ENVO:reef	sponges	468	28.45833	-79.72327	HBOI.McCarthy				
