,PC1,PC2,2,3,4
sample_23,-0.4284960159268736,0.941003795968129,1.234714488705325,-1.2311696751923988,-0.8360788021333583
sample_24,-0.39121110982959134,0.9290665535213983,1.2338260117259254,-1.2220359834972663,-0.8330269738787056
sample_25,-0.23740133136856081,0.8267894132296024,1.1818276533440002,-1.200755181703316,-0.8306063567867732
sample_26,-0.22732836036142104,0.8343827483247575,1.2111098577952744,-1.2625688543094535,-0.8596273625965747
sample_27,-0.26592942848125767,0.7968033063726343,1.1572192393550893,-1.205837075777128,-0.839101416696637
sample_28,0.02470673058971994,0.6712340733921615,1.131833050908105,-1.2295314234654868,-0.8633378891604883
sample_29,-0.00035859098181686424,0.6629323687149615,1.13784893400268,-1.2605651194002643,-0.8841035477902698
sample_30,0.10123314036722486,0.5929854987673926,1.1005601775470695,-1.2361866392629515,-0.887668442731113
sample_31,0.13074200661659494,0.5634549337821704,1.075206042186524,-1.2232668651606449,-0.8717992566502757
sample_32,0.31048098337156355,0.4639627712688179,1.0527959898565298,-1.2329023818901186,-0.8941242432457163
sample_33,0.4121460076509825,0.35212231995604637,0.9841929296574028,-1.2109533701875121,-0.90147366940994
sample_34,0.4406626611487578,0.354233591859227,1.0148350546962372,-1.2503667519654122,-0.9194501638054573
sample_35,0.4777264132747016,0.30870357221620126,1.0048201768191487,-1.295106145268489,-0.96172924064426
sample_36,0.5020106388614516,0.3014517332378506,0.9898806456544369,-1.2614807536297914,-0.9345210658470111
sample_37,0.6244143045728962,0.191049874917033,0.9618397252960015,-1.3029602442590298,-0.983114761211173
sample_38,0.7773448990534959,0.09657474536255882,0.9079589253887845,-1.2626669122599812,-0.9705712774769547
sample_39,0.7633069364085373,0.0851562002470857,0.885580218884263,-1.2447101874033408,-0.9656326364936526
sample_40,0.795721896807869,0.02428036267198393,0.8596707088011424,-1.2599047663853595,-0.9811854214936871
sample_41,1.0408170241679182,-0.15093028373752787,0.7881173198152879,-1.2613466782135925,-1.0066656539005827
sample_42,0.8911838968032534,-0.1071533013421578,0.7769022287313325,-1.2375813126786328,-0.9948707556952349
sample_43,1.000143853838279,-0.18764427284539245,0.7321181896560193,-1.2351177301275083,-0.9996045004575272
sample_44,1.1272589876895278,-0.3087259076147875,0.6607028003383697,-1.189164009633875,-1.0006620398917387
sample_45,1.2115828675730573,-0.3901185257981073,0.6316973753865488,-1.2190611419454722,-1.0265431567417362
sample_46,1.1475332504164242,-0.3794952912554577,0.6172415450111062,-1.1953881988569697,-1.0138339067089281
sample_47,1.1700706588324121,-0.45258839396485373,0.5579017188031088,-1.189070486378049,-1.020259379206937
sample_48,1.3170094611131555,-0.5349513301454498,0.5214652228596379,-1.1546146494187004,-0.9999611405681791
sample_49,1.2719321308921918,-0.6505946648994316,0.42021573156689196,-1.1656558746933185,-1.045654451024644
sample_50,1.3070677702526288,-0.7252698016447002,0.38770476887309535,-1.1904124539402536,-1.0730428945773485
sample_51,1.2832536863517106,-0.7175720147327003,0.3880570792427677,-1.1836099216248233,-1.0725081071813327
sample_52,1.3351205060180582,-0.8318329436670284,0.2793044208704778,-1.1446409066417016,-1.0853629661440534
sample_53,1.2730703330916284,-0.7889773553975143,0.28804499351215945,-1.1154786483763452,-1.0523999674879665
sample_54,1.2967914198531627,-0.9248718089879947,0.21342344594929186,-1.1522203005887013,-1.0890861220759285
sample_55,1.4030586961668359,-1.0198719840561523,0.14557161634809376,-1.1235555312081975,-1.1100032565210938
sample_56,1.277345015205828,-1.002265878765533,0.09814374534382607,-1.0967978701984833,-1.1065124571679257
sample_57,1.2790768673988522,-1.0943979448087373,0.019835934497089133,-1.0647180101004905,-1.0946504665384957
sample_58,1.260790802667224,-1.1123414711275303,-0.009023748164322767,-1.055628150139254,-1.1209601847152735
