Rank,Overlap,Sequence_Depth,Method,Metric,value
2,20,100,rclr-OptSpace,KL-Div,0.001985748590297716
2,20,100,rclr-SoftImpute,KL-Div,0.001957312248749341
2,20,1000,IterativeSVD,KL-Div,59.384027276694745
2,20,1000,KNN,KL-Div,60.28202119284507
2,20,1000,OptSpace,KL-Div,56.536253185142755
2,20,1000,SoftImpute,KL-Div,57.473708959046846
2,20,1000,rclr-IterativeSVD,KL-Div,0.0018675031066796388
2,20,1000,rclr-KNN,KL-Div,0.002129945383072812
2,20,1000,rclr-OptSpace,KL-Div,0.0019789310948607488
2,20,1000,rclr-SoftImpute,KL-Div,0.0018587626196036172
2,20,2000,IterativeSVD,KL-Div,111.43611842359263
2,20,2000,KNN,KL-Div,115.8948360393727
2,20,2000,OptSpace,KL-Div,108.87439737623654
2,20,2000,SoftImpute,KL-Div,109.0924812691236
2,20,2000,rclr-IterativeSVD,KL-Div,0.0016176296159264951
2,20,2000,rclr-KNN,KL-Div,0.0020777387862148966
2,20,2000,rclr-OptSpace,KL-Div,0.0018880333080990672
2,20,2000,rclr-SoftImpute,KL-Div,0.0016127878927580596
2,20,5000,IterativeSVD,KL-Div,266.7553223146971
2,20,5000,KNN,KL-Div,282.2149349539614
2,20,5000,OptSpace,KL-Div,266.16570387025314
2,20,5000,SoftImpute,KL-Div,263.03734572906376
2,20,5000,rclr-IterativeSVD,KL-Div,0.001103047491227319
2,20,5000,rclr-KNN,KL-Div,0.0014330851637683157
2,20,5000,rclr-OptSpace,KL-Div,0.001582639457059638
2,20,5000,rclr-SoftImpute,KL-Div,0.0011013530049478971
2,20,10000,IterativeSVD,KL-Div,524.8703315826028
2,20,10000,KNN,KL-Div,560.5959150131326
2,20,10000,OptSpace,KL-Div,529.2206047664693
2,20,10000,SoftImpute,KL-Div,519.0118568977782
2,20,10000,rclr-IterativeSVD,KL-Div,0.0007305190320305606
2,20,10000,rclr-KNN,KL-Div,0.0009344670322945484
2,20,10000,rclr-OptSpace,KL-Div,0.0012377628327991412
2,20,10000,rclr-SoftImpute,KL-Div,0.0007305786738285535
