	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	2.8977108385172192	3.6798727640439157	3.7942296042293213	4.067608859914249	4.016895010347516	3.272924327684045	3.015615638877818	3.2205633116224384	2.108108668194008	2.796163473149746	0.0	1.1842245048937277	3.988269250591202	1.8601531652891865	2.6782584433561247	4.035979559002111	2.742298563414847	1.6366168615290955	2.596993409041008	1.999906157097881	0.9062379504853021	3.0588465802422893	3.3149323683352607	5.627563850286692	1.59912906509892	1.989461977774348	2.2958091483976286	2.9697335896537096	2.2712951103672845	3.0683349061932508	3.40126353814387	3.183110611995093	3.057923327741728	2.7154410384326537
L2S222	2.7591502472390794	2.9809266784119592	3.1933260235350254	3.4769156714548584	3.345380819364445	2.8726398376356803	2.5223277737669756	2.8421848087475485	1.8513164395190052	1.9446552394409193	1.1842245048937277	0.0	3.0175213700567567	0.9697396977498072	1.6238626522370536	2.908534269163467	2.0326386161898022	0.7320354140251907	1.5985890160258815	1.0744432670814246	0.4120062494068494	2.3657278192565814	2.7694064601897694	4.550165767958257	2.181815888747559	1.8291102784834492	1.460893923180955	2.088476223171907	1.7255249039266412	2.4005500078474458	2.333556247639516	2.399550705450558	2.301894825952041	2.251627418185763
L2S240	4.741090895688899	3.5761752349738276	4.152175713446015	3.647307291697886	3.2973455935967575	4.0086183408833564	3.615410304219756	4.718098953193046	3.845716098489842	3.0813395227936184	3.988269250591202	3.0175213700567567	0.0	2.982735290091555	2.589458853631203	2.6500717279660875	3.5772670675093683	2.943846264728081	2.783223651166867	3.1762717647018395	3.1413114532188935	3.4346798359627315	4.022844302077827	3.849881882258067	4.485010513218924	2.7251589613269114	1.8398953758595062	1.4279666520803833	2.1501139700233756	1.8627209297149228	1.3675645555272744	1.3378903738432875	1.5162947655067254	2.2139892982504
L2S309	3.206689327360653	2.952822545229312	3.0780394028584066	3.3432638424695553	3.214542614316815	3.3797856006039644	2.8796107181996096	3.1181895342817794	1.2828496964565979	1.0177388313842326	1.8601531652891865	0.9697396977498072	2.982735290091555	0.0	0.9896599165270987	2.4651322762007517	2.4570611923857615	0.5872788450845279	0.8884793760327259	0.5503242883340268	1.2673605658973823	2.5068019044237664	1.967721912797877	3.949902729749338	2.214454077490462	2.2270937549641037	1.7646373083856073	2.400044209824332	2.2221254362855194	2.813964382506667	2.3281530318812664	2.5641176654883973	2.458747556389264	2.719468128542238
L2S357	3.6960199943673517	3.2498119513616692	3.348473828977637	3.606025471189558	3.473945612551881	3.7515110989511866	3.308495497722236	3.4137956687031417	2.0025277247049917	0.805932689165497	2.6782584433561247	1.6238626522370536	2.589458853631203	0.9896599165270987	0.0	1.9008534253880527	2.638253124876999	1.2969306276358654	0.23714033841384516	1.0385344599454067	1.932177262963517	2.7962642253918526	2.168802743873259	3.262333716128245	3.1505613103421695	2.6175593826064754	1.747352909297313	2.379233154146814	2.482337275265512	2.993894656585244	2.0834089679774634	2.591509623300127	2.5294856574391194	2.9739189280641893
L2S382	3.6823272099693933	2.9867455012006134	3.5744220387202263	3.8879848070095298	3.4430274359231365	3.4194805322622495	3.0056213136037306	3.219916029486935	3.4925014641227885	2.2547673341283474	4.035979559002111	2.908534269163467	2.6500717279660875	2.4651322762007517	1.9008534253880527	0.0	2.5910269174290286	2.7257169720304266	2.0721656675591684	2.2264761796054064	3.289466059884289	3.04299944869624	2.736153919853848	1.800718569602693	4.516139708061986	4.007515927245697	2.8010992543471733	2.549925474399477	3.181222859141873	3.2407111268780313	1.723473726161987	2.7811301340485763	2.765013223926229	3.424989925744369
L3S242	1.7267446023163622	2.559926494286269	3.1364740575511836	3.8687941407427053	3.5347884299674397	1.5824646231648203	1.6432634845965026	1.5085399759388423	3.462513581446279	3.1465233861687367	2.742298563414847	2.0326386161898022	3.5772670675093683	2.4570611923857615	2.638253124876999	2.5910269174290286	0.0	2.33938025837848	2.7120389013014212	2.077411725833367	2.3045694454583203	2.140801947654156	3.6736930410216573	4.233634932137882	3.8506151662316013	3.575616963190161	2.706597683967081	2.4475291661267344	2.706080925319269	2.7918295037660092	2.372283876800533	3.0391582900467076	3.000447916311791	2.9832502208922236
L3S294	3.2163565749454657	2.7210527911583604	2.7488615688274733	3.0020610530254346	2.954492314293206	3.271929845369891	2.8038339271224726	3.202282923427657	1.3253187856189772	1.4799673330424676	1.6366168615290955	0.7320354140251907	2.943846264728081	0.5872788450845279	1.2969306276358654	2.7257169720304266	2.33938025837848	0.0	1.218000545830442	0.8966426639272018	0.9737511663029176	2.119142723959603	2.516682070494453	4.328801544943924	2.1597098610534973	1.9632868284304428	1.6887140633802094	2.2817284602174044	2.128118879604473	2.5451866491038015	2.319685033874129	2.524394617968013	2.455837638793876	2.633401598263788
L3S313	3.7240174526317196	3.287182379986618	3.314068484430926	3.602591700443144	3.508710031423527	3.8414510041366925	3.389899829269858	3.44676167377313	1.814956268212437	0.6639372875420836	2.596993409041008	1.5985890160258815	2.783223651166867	0.8884793760327259	0.23714033841384516	2.0721656675591684	2.7120389013014212	1.218000545830442	0.0	0.9679087920286134	1.897594703639462	2.8092631187149593	2.093175866513571	3.4004166439329104	3.016802484954714	2.6235380306609115	1.8681321495524017	2.5501436115721186	2.5937746185232684	3.1238272594201906	2.281685589909485	2.751721022173887	2.683178887966456	3.0985187618518926
L3S341	2.844054691191669	2.8821921943621676	3.0596949405765326	3.526468440466689	3.3503562399007425	3.11629505143801	2.670851958914033	2.646261869555842	1.6536240606442074	1.1883710618065124	1.999906157097881	1.0744432670814246	3.1762717647018395	0.5503242883340268	1.0385344599454067	2.2264761796054064	2.077411725833367	0.8966426639272018	0.9679087920286134	0.0	1.4517122826077078	2.4445524961955787	1.9585571793750198	3.7281060148961833	2.5330807405717897	2.6507357429995224	1.9930995630426067	2.4940190937853175	2.406420124265894	2.9771322018193196	2.3315517568641164	2.7536063444454046	2.646060156626592	2.8888254307573002
