	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.Webster.2.G4.169.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	978	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.A12.200.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	681	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.3.E7.243.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	724	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.3.E6.242.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	723	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.3.D8.232.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	713	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.3.A1.189.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	670	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.3.G2.262.EMP.Thomas.sponges.16S.L008	2011-10-14 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	743	-15.332279999999999	124.105	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.2.D5.134.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	982	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.G3.263.EMP.Thomas.sponges.16S.L008	2011-10-23 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	744	-16.053079999999998	123.35887	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.3.B5.205.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	686	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.3.D10.234.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	715	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.2.E5.146.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	979	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.C4.216.EMP.Thomas.sponges.16S.L008	2012-06-14 00:00:00	GAZ:Australia	12.0	ENVO:reef	sponges	697	-18.81707	147.63232	ZZ	Unknown	Adult	23.3	Unknown
1740.Webster.3.H9.281.EMP.Thomas.sponges.16S.L008	2011-10-19 00:00:00	GAZ:Australia	16.0	ENVO:reef	sponges	762	-15.3363	123.5129	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.4.E5.335.EMP.Thomas.sponges.16S.L008	2010-12-27 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	795	-18.59297	46.48359	Upright -80 Rack 3C12	Unknown	Larvae	28	Unknown
1740.Webster.3.B7.207.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	688	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.2.E6.147.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	980	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.F5.253.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	734	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.4.A9.291.EMP.Thomas.sponges.16S.L008	2012-08-15 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	768	-9.75403	143.41833	ZZ	Unknown	Adult	27.6	Unknown
1740.Webster.3.G6.266.EMP.Thomas.sponges.16S.L008	2006-09-21 00:00:00	GAZ:Australia	5.8	ENVO:reef	sponges	747	-14.177320000000002	121.88157	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.3.C2.214.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	695	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.4.F10.352.EMP.Thomas.sponges.16S.L008	2013-01-15 00:00:00	GAZ:Australia	12.0	ENVO:reef	sponges	954	-18.81723	147.63252	Taken in Jan 13 after DR fieldtrip	Unknown	Larvae	28.5	Unknown
1740.Webster.3.C5.217.EMP.Thomas.sponges.16S.L008	2012-06-14 00:00:00	GAZ:Australia	12.0	ENVO:reef	sponges	698	-18.81707	147.63232	ZZ	Unknown	Adult	23.3	Unknown
1740.Webster.3.E12.248.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	729	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.3.H2.274.EMP.Thomas.sponges.16S.L008	1999-08-27 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	755	-20.515	116.67033	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.2.G7.172.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	957	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.2.H6.183.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	664	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.2.H2.179.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	973	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.B10.304.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	9.0	ENVO:reef	sponges	896	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.2.F11.164.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	970	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.B9.209.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	690	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.4.B5.299.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	9.0	ENVO:reef	sponges	653	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.3.A6.194.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	675	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.3.H7.279.EMP.Thomas.sponges.16S.L008	1999-09-03 00:00:00	GAZ:Australia	9.0	ENVO:reef	sponges	760	-20.649829999999998	116.43683	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.2.C12.129.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	941	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.F1.249.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	730	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.3.E4.240.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	721	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.4.A8.290.EMP.Thomas.sponges.16S.L008	2012-08-15 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	767	-9.75403	143.41833	ZZ	Unknown	Adult	27.6	Unknown
1740.Webster.3.H1.273.EMP.Thomas.sponges.16S.L008	1998-10-27 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	754	-20.4295	116.87799999999999	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.4.E4.334.EMP.Thomas.sponges.16S.L008	2010-12-26 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	794	-18.59297	46.48359	Upright -80 Rack 3C12	Unknown	Larvae	28	Unknown
1740.Webster.2.E8.149.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	985	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.G7.267.EMP.Thomas.sponges.16S.L008	2006-09-21 00:00:00	GAZ:Australia	12.8	ENVO:reef	sponges	748	-14.17705	121.8817	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.4.B9.303.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	9.0	ENVO:reef	sponges	895	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.4.D4.322.EMP.Thomas.sponges.16S.L008	2010-12-14 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	782	-18.59297	46.48359	Upright -80 Rack 3C7	Unknown	Larvae	28	Unknown
1740.Webster.2.C5.122.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	937	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
