Band_Width,Sequence_Depth,Method,Metric,value
1.0,5000.0,rclr-SoftImpute,KL-Div,0.0006145423339684125
1.0,10000.0,IterativeSVD,KL-Div,943.7045125946563
1.0,10000.0,KNN,KL-Div,943.2875469663231
1.0,10000.0,OptSpace,KL-Div,934.6765650554681
1.0,10000.0,SoftImpute,KL-Div,895.0677332889804
1.0,10000.0,rclr-IterativeSVD,KL-Div,0.0006494529378667227
1.0,10000.0,rclr-KNN,KL-Div,0.0014872789282073151
1.0,10000.0,rclr-OptSpace,KL-Div,0.004401380298286881
1.0,10000.0,rclr-SoftImpute,KL-Div,0.00040023181405862316
1.3,100.0,IterativeSVD,KL-Div,9.577721914367219
1.3,100.0,KNN,KL-Div,9.743321996627925
1.3,100.0,OptSpace,KL-Div,42.00096358856764
1.3,100.0,SoftImpute,KL-Div,9.461269368132628
1.3,100.0,rclr-IterativeSVD,KL-Div,0.0009000441365521431
1.3,100.0,rclr-KNN,KL-Div,0.0009396230716074446
1.3,100.0,rclr-OptSpace,KL-Div,0.00423265905947585
1.3,100.0,rclr-SoftImpute,KL-Div,0.0009204582187458168
1.3,1000.0,IterativeSVD,KL-Div,88.34305686673679
1.3,1000.0,KNN,KL-Div,88.69437706505599
1.3,1000.0,OptSpace,KL-Div,120.57952117594341
1.3,1000.0,SoftImpute,KL-Div,85.95404847432228
1.3,1000.0,rclr-IterativeSVD,KL-Div,0.0007656909891872979
1.3,1000.0,rclr-KNN,KL-Div,0.0010648211696503225
1.3,1000.0,rclr-OptSpace,KL-Div,0.00389355676625197
1.3,1000.0,rclr-SoftImpute,KL-Div,0.0006870145389730664
1.3,2000.0,IterativeSVD,KL-Div,176.84193717932155
1.3,2000.0,KNN,KL-Div,177.63287514849614
1.3,2000.0,OptSpace,KL-Div,192.1375416238428
1.3,2000.0,SoftImpute,KL-Div,172.50523991684233
1.3,2000.0,rclr-IterativeSVD,KL-Div,0.0006449596369527501
1.3,2000.0,rclr-KNN,KL-Div,0.001052013946530639
1.3,2000.0,rclr-OptSpace,KL-Div,0.003061298019832512
1.3,2000.0,rclr-SoftImpute,KL-Div,0.0005393770623624962
1.3,5000.0,IterativeSVD,KL-Div,441.92420127582164
1.3,5000.0,KNN,KL-Div,444.30606924544185
1.3,5000.0,OptSpace,KL-Div,447.259245096415
1.3,5000.0,SoftImpute,KL-Div,433.2258267000074
1.3,5000.0,rclr-IterativeSVD,KL-Div,0.0004768703504509607
1.3,5000.0,rclr-KNN,KL-Div,0.0009760057337139843
1.3,5000.0,rclr-OptSpace,KL-Div,0.002158499623696448
1.3,5000.0,rclr-SoftImpute,KL-Div,0.0003504934543116346
1.3,10000.0,IterativeSVD,KL-Div,885.1179477255049
1.3,10000.0,KNN,KL-Div,890.1004371883399
1.3,10000.0,OptSpace,KL-Div,887.1807435457188
1.3,10000.0,SoftImpute,KL-Div,868.3169749854195
1.3,10000.0,rclr-IterativeSVD,KL-Div,0.00035447420299436575
1.3,10000.0,rclr-KNN,KL-Div,0.0009604727089586564
1.3,10000.0,rclr-OptSpace,KL-Div,0.00025383917968446794
1.3,10000.0,rclr-SoftImpute,KL-Div,0.0002484588977699497
1.7,100.0,IterativeSVD,KL-Div,7.3323686886176365
1.7,100.0,KNN,KL-Div,7.392169737472154
