,,,Bray_Curtis,GUniFrac_Alpha_Half,GUniFrac_Alpha_One,GUniFrac_Alpha_Zero,Jaccard,Robust_Aitchison
6,30,test statistic,3.9806334010854565,4.125299061056367,2.4826627548799625,3.7258611163234323,3.7626140070853915,17.259952509537612
6,70,p-value,0.001,0.001,0.004,0.001,0.001,0.001
6,70,test statistic,8.941422467540534,7.490267570730336,4.521958734805532,6.691388387602963,7.057060129919188,35.24123072443132
6,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,110,test statistic,12.460863033471526,9.915564245284223,6.185474539976998,8.420417209097623,9.65340185826474,44.65731583561871
6,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,150,test statistic,14.145948394864684,11.363463800263869,7.026978287746917,10.738337707961673,11.954525904651492,61.9828480189636
6,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,184,test statistic,18.285855810426426,15.258979995901083,9.734539498386834,13.019468811095885,14.177842580357053,79.77999090636638
7,30,p-value,0.003,0.001,0.003,0.001,0.001,0.001
7,30,test statistic,5.523837941359202,5.181321685919888,4.811566408428282,3.7786050431378113,3.6455689616838223,21.003019304861958
7,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,70,test statistic,9.44549722606967,8.642090479989013,7.289500873109224,6.311859347308931,6.3368524000847914,34.191513856543814
7,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,110,test statistic,12.761954692634744,10.565319181112494,7.433303780748314,8.84830936165279,8.791358914779462,50.27943576190779
7,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,150,test statistic,15.743383705550825,13.13855111357895,7.919925673430727,12.261625813451557,12.473131208697417,65.83801993022747
7,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,184,test statistic,18.05831572132211,15.098744456322976,9.552779361714105,13.090205332631948,14.0077153896651,79.77999090636638
8,30,p-value,0.001,0.001,0.003,0.001,0.001,0.001
8,30,test statistic,5.493417095741001,4.923390297409431,4.616538384588001,3.5337447302211533,3.575432142846221,18.922226009581955
8,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,70,test statistic,8.916801911708337,6.621762162294952,4.700546999312611,5.5003757730600595,6.463003558573115,31.35184593360925
8,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,110,test statistic,13.76401364123444,10.651287256779147,7.290692480411845,8.686069491120177,9.141501133378068,49.8751817448815
8,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,150,test statistic,15.385230805502738,12.078210748811518,7.9885175901661425,10.388458912288229,11.45841915287075,67.29313711062804
8,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,184,test statistic,17.845362252290258,14.853453052784905,9.328512289984989,12.87820543477571,14.627289404800406,79.77999090636642
9,30,p-value,0.001,0.001,0.016,0.001,0.001,0.001
9,30,test statistic,5.831200957416433,4.796505000319785,3.3768294362663926,3.6454702544604136,3.947797576348451,12.516562469364287
9,70,p-value,0.001,0.001,0.032,0.001,0.001,0.001
9,70,test statistic,7.308772263065358,5.192739020931085,3.1841984580317826,5.311286303753258,5.446712617875355,28.23347788543922
